major_diameter,pitch,tpi,tap_drill_size,thread_class,thread_name,custom_thread_profile,preset_name,thumb
12.7,1.59,16,11.2,BSF,"BSF 1/2""-16",False,"BSF 1/2""-16",BSF_1_2_-16
12.7,1.95,13,10.8,UNC,"UNC 1/2""-13",False,"UNC 1/2""-13",UNC_1_2_-13
12.7,2.12,12,10.6,BSW,"BSW 1/2""-12",False,"BSW 1/2""-12",BSW_1_2_-12
13.16,1.34,19,11.5,BSP,"BSP 1/4""-19",False,"BSP 1/4""-19",BSP_1_4_-19
13.72,1.41,18,11.1,NPT,"NPT 1/4""-18",False,"NPT 1/4""-18",NPT_1_4_-18
14,1.5,,12.5,Metric Fine,M14×1.5 (Fine),False,M14×1.5 (Fine),M14_1_5__Fine_
14,2,,12,Metric Coarse,M14×2,False,M14×2,M14_2
14.29,1.41,18,12.9,UNF,"UNF 9/16""-18",False,"UNF 9/16""-18",UNF_9_16_-18
14.29,1.59,16,12.7,BSF,"BSF 9/16""-16",False,"BSF 9/16""-16",BSF_9_16_-16
14.29,2.12,12,12.2,BSW,"BSW 9/16""-12",False,"BSW 9/16""-12",BSW_9_16_-12
14.29,2.12,12,12.2,UNC,"UNC 9/16""-12",False,"UNC 9/16""-12",UNC_9_16_-12
15.88,1.41,18,14.5,UNF,"UNF 5/8""-18",False,"UNF 5/8""-18",UNF_5_8_-18
15.88,1.41,18,14.5,BSCon,"BSCon 5/8""-18",False,"BSCon 5/8""-18",BSCon_5_8_-18
15.88,1.81,14,14.1,BSF,"BSF 5/8""-14",False,"BSF 5/8""-14",BSF_5_8_-14
15.88,2.31,11,13.6,BSW,"BSW 5/8""-11",False,"BSW 5/8""-11",BSW_5_8_-11
15.88,2.31,11,13.6,UNC,"UNC 5/8""-11",False,"UNC 5/8""-11",UNC_5_8_-11
16,1.5,,14.5,Metric Fine,M16×1.5 (Fine),False,M16×1.5 (Fine),M16_1_5__Fine_
16,2,,14,Metric Coarse,M16×2,False,M16×2,M16_2
16.66,1.34,19,15,BSP,"BSP 3/8""-19",False,"BSP 3/8""-19",BSP_3_8_-19
17.15,1.41,18,14.7,NPT,"NPT 3/8""-18",False,"NPT 3/8""-18",NPT_3_8_-18
17.46,1.81,14,15.7,BSF,"BSF 11/16""-14",False,"BSF 11/16""-14",BSF_11_16_-14
17.46,2.31,11,15.2,BSW,"BSW 11/16""-11",False,"BSW 11/16""-11",BSW_11_16_-11
18,1.5,,16.5,Metric Extra Fine,M18×1.5 (Extra Fine),False,M18×1.5 (Extra Fine),M18_1_5__Extra_Fine_
18,2,,16,Metric Fine,M18×2 (Fine),False,M18×2 (Fine),M18_2__Fine_
18,2.5,,15.5,Metric Coarse,M18×2.5,False,M18×2.5,M18_2_5
19.05,1.59,16,17.5,UNF,"UNF 3/4""-16",False,"UNF 3/4""-16",UNF_3_4_-16
19.05,1.59,16,17.5,BSCon,"BSCon 3/4""-16",False,"BSCon 3/4""-16",BSCon_3_4_-16
19.05,2.12,12,17,BSF,"BSF 3/4""-12",False,"BSF 3/4""-12",BSF_3_4_-12
19.05,2.54,10,16.6,BSW,"BSW 3/4""-10",False,"BSW 3/4""-10",BSW_3_4_-10
19.05,2.54,10,16.6,UNC,"UNC 3/4""-10",False,"UNC 3/4""-10",UNC_3_4_-10
20,1.5,,18.5,Metric Extra Fine,M20×1.5 (Extra Fine),False,M20×1.5 (Extra Fine),M20_1_5__Extra_Fine_
20,2,,18,Metric Fine,M20×2 (Fine),False,M20×2 (Fine),M20_2__Fine_
20,2.5,,17.5,Metric Coarse,M20×2.5,False,M20×2.5,M20_2_5
20.96,1.81,14,18.7,BSP,"BSP 1/2""-14",False,"BSP 1/2""-14",BSP_1_2_-14
21.34,1.81,14,18.3,NPT,"NPT 1/2""-14",False,"NPT 1/2""-14",NPT_1_2_-14
22,1.5,,20.5,Metric Extra Fine,M22×1.5 (Extra Fine),False,M22×1.5 (Extra Fine),M22_1_5__Extra_Fine_
22,2,,20,Metric Fine,M22×2 (Fine),False,M22×2 (Fine),M22_2__Fine_
22,2.5,,19.5,Metric Coarse,M22×2.5,False,M22×2.5,M22_2_5
22.23,1.81,14,20.5,UNF,"UNF 7/8""-14",False,"UNF 7/8""-14",UNF_7_8_-14
